код,Назва закладу,Вік (клас),Тип закладу,Профіль школи,гра,раунд,вибір
10,130 школа,7-8,школа,гуманітарні,1,2,9
10,130 школа,7-8,школа,гуманітарні,1,2,28
10,130 школа,7-8,школа,гуманітарні,1,2,47
10,130 школа,7-8,школа,гуманітарні,1,2,29
10,130 школа,7-8,школа,гуманітарні,1,2,16
10,130 школа,7-8,школа,гуманітарні,1,2,17
11,208 школа,7-8,школа,фіз-мат,1,1,48
11,208 школа,7-8,школа,фіз-мат,1,1,42
11,208 школа,7-8,школа,фіз-мат,1,1,45
11,208 школа,7-8,школа,фіз-мат,1,1,66
11,208 школа,7-8,школа,фіз-мат,1,1,30
11,208 школа,7-8,школа,фіз-мат,1,1,88
11,208 школа,7-8,школа,фіз-мат,1,1,28
11,208 школа,7-8,школа,фіз-мат,1,1,66
11,208 школа,7-8,школа,фіз-мат,1,1,51
11,208 школа,7-8,школа,фіз-мат,1,1,63
11,208 школа,7-8,школа,фіз-мат,1,1,27
11,208 школа,7-8,школа,фіз-мат,1,1,53
11,208 школа,7-8,школа,фіз-мат,1,1,30
11,208 школа,7-8,школа,фіз-мат,1,1,56
11,208 школа,7-8,школа,фіз-мат,1,1,21
11,208 школа,7-8,школа,фіз-мат,1,1,33
11,208 школа,7-8,школа,фіз-мат,1,1,90
11,208 школа,7-8,школа,фіз-мат,1,1,67
11,208 школа,7-8,школа,фіз-мат,1,1,33
11,208 школа,7-8,школа,фіз-мат,1,1,75
11,208 школа,7-8,школа,фіз-мат,1,1,90
11,208 школа,7-8,школа,фіз-мат,1,1,90
11,208 школа,7-8,школа,фіз-мат,1,1,1
11,208 школа,7-8,школа,фіз-мат,1,1,1
11,208 школа,7-8,школа,фіз-мат,1,1,30
11,208 школа,7-8,школа,фіз-мат,1,1,42
11,208 школа,7-8,школа,фіз-мат,1,2,22
11,208 школа,7-8,школа,фіз-мат,1,2,11
11,208 школа,7-8,школа,фіз-мат,1,2,11
11,208 школа,7-8,школа,фіз-мат,1,2,23
11,208 школа,7-8,школа,фіз-мат,1,2,6
11,208 школа,7-8,школа,фіз-мат,1,2,20
11,208 школа,7-8,школа,фіз-мат,1,2,1
11,208 школа,7-8,школа,фіз-мат,1,2,22
11,208 школа,7-8,школа,фіз-мат,1,2,3
11,208 школа,7-8,школа,фіз-мат,1,2,5
11,208 школа,7-8,школа,фіз-мат,1,2,32
11,208 школа,7-8,школа,фіз-мат,1,2,17
11,208 школа,7-8,школа,фіз-мат,1,2,23
11,208 школа,7-8,школа,фіз-мат,1,2,33
11,208 школа,7-8,школа,фіз-мат,1,2,32
11,208 школа,7-8,школа,фіз-мат,1,2,22
11,208 школа,7-8,школа,фіз-мат,1,2,7
11,208 школа,7-8,школа,фіз-мат,1,2,44
11,208 школа,7-8,школа,фіз-мат,1,2,33
11,208 школа,7-8,школа,фіз-мат,1,2,22
11,208 школа,7-8,школа,фіз-мат,1,2,22
11,208 школа,7-8,школа,фіз-мат,1,2,22
11,208 школа,7-8,школа,фіз-мат,1,2,22
